usa,china
46,34
47,34
48,34
48,34
48,34
48,34
48,34
48,34
48,34
48,34
48,34
48,35
48,35
48,35
48,35
49,35
49,35
49,35
49,35
49,35
50,35
50,35
51,35
51,35
52,35
52,35
52,35
52,35
52,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
53,35
54,35
54,35
55,35
55,35
56,35
56,35
56,35
56,35
56,35
56,36
56,36
56,36
56,37
56,37
56,37
56,37
56,37
56,37
57,37
58,37
58,37
58,37
58,37
58,37
59,37
59,37
59,37
59,37
59,37
59,37
59,37
59,38
59,38
59,38
59,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
61,38
61,38
61,38
61,38
61,38
61,38
61,38
62,38
62,39
62,39
63,39
63,39
63,39
63,39
64,39
64,39
64,39
65,39
65,40
65,40
65,40
66,40
66,40
66,40
66,40
66,40
66,41
66,41
66,41
67,41
67,41
67,42
67,42
67,42
68,42
68,42
68,42
69,42
69,42
69,42
69,43
70,43
70,43
70,43
70,43
71,43
71,43
71,43
71,43
71,43
72,43
72,43
72,43
73,43
73,43
74,43
74,43
74,43
74,43
74,43
74,44
74,44
74,44
74,44
75,44
75,44
75,44
76,44
76,44
76,44
76,44
76,45
76,45
76,45
76,46
76,46
76,46
76,46
76,46
76,46
76,46
76,46
76,46
76,46
77,46
77,46
77,46
77,46
77,46
77,46
77,46
78,46
78,46
78,47
78,48
78,48
79,48
80,48
81,48
81,48
81,48
82,48
82,48
82,48
82,48
82,48
82,48
82,48
82,48
83,48
83,48
83,48
83,48
84,48
84,48
84,48
84,48
84,49
84,49
84,49
84,49
85,49
85,49
85,49
85,49
85,49
85,49
85,49
85,49
85,49
86,49
86,49
86,49
86,49
86,49
86,49
86,49
86,49
86,49
86,49
86,49
86,49
87,49
88,49
88,49
89,49
89,49
89,49
89,49
89,49
89,49
89,49
90,49
90,49
90,49
90,49
90,49
91,49
91,49
91,50
91,50
91,50
91,50
91,50
91,50
91,50
92,50
92,50
92,50
92,50
92,50
92,51
92,51
92,51
92,51
92,51
92,51
92,52
93,52
93,52
93,52
94,52
94,52
94,52
94,52
94,52
94,52
94,52
94,52
94,52
94,52
94,52
95,52
95,52
95,52
95,52
95,52
95,53
96,53
97,53
97,53
97,53
97,53
97,53
97,53
97,53
97,53
97,53
98,53
98,53
98,53
98,54
98,54
98,54
98,55
98,55
98,55
98,55
98,55
98,55
98,55
99,55
99,55
99,55
99,55
100,55
100,55
100,55
100,56
100,56
100,56
101,56
101,56
101,56
101,56
101,57
101,57
101,57
101,57
101,57
101,57
101,57
101,57
101,57
101,57
101,57
101,57
101,57
102,57
102,57
102,57
102,57
103,57
103,57
103,57
103,57
103,57
103,57
103,58
103,58
103,58
103,58
103,58
104,58
104,58
104,58
105,58
105,58
105,58
106,58
106,58
106,58
107,58
107,58
108,58
108,58
108,58
108,58
108,59
109,59
110,59
110,59
110,59
110,59
110,59
110,59
111,59
112,59
113,59
114,59
114,59
114,59
114,59
114,59
114,59
114,59
114,59
114,59
114,59
114,60
114,60
114,60
114,60
114,60
114,60
114,61
114,62
114,62
115,62
115,62
115,62
115,62
115,62
115,62
115,62
115,62
115,62
116,62
116,62
116,62
117,62
117,62
117,62
117,62
117,62
117,62
117,62
117,62
117,62
117,62
117,62
117,62
117,62
118,62
118,62
118,62
118,63
118,64
118,64
118,64
118,64
118,65
118,65
118,65
118,65
118,65
118,65
118,65
118,65
118,65
118,66
118,66
119,66
119,66
119,66
119,66
120,66
120,66
120,66
120,66
120,66
120,66
120,66
120,66
120,66
120,66
120,66
121,66
121,66
121,66
121,66
121,66
121,67
121,67
121,68
121,68
121,68
121,68
121,68
121,68
121,68
122,68
122,68
122,68
122,68
122,68
122,69
123,69
123,69
123,69
124,69
124,69
124,69
124,69
124,69
124,69
125,69
125,70
125,70
125,71
125,71
125,71
125,71
125,72
125,72
125,72
125,72
125,72
125,72
125,72
125,72
126,72
126,72
126,72
126,73
126,74
126,74
126,74
126,74
126,75
126,75
126,75
126,76
126,76
126,76
126,76
126,76
127,76
127,76
127,76
127,76
128,76
128,76
129,76
129,76
129,76
129,77
129,78
129,78
130,78
130,78
131,78
131,78
131,78
132,78
132,78
132,78
132,78
132,78
132,78
132,78
132,78
132,78
132,79
132,79
132,79
132,79
132,79
132,79
132,80
132,80
133,80
133,80
134,80
134,80
134,80
134,80
134,80
134,80
134,80
134,80
134,80
134,80
134,80
134,80
134,80
135,80
135,80
135,80
135,80
136,80
136,80
136,80
137,80
137,80
137,81
137,81
137,81
137,81
137,82
137,82
137,82
137,82
137,82
137,82
137,82
137,83
137,83
137,83
137,83
138,83
138,83
138,84
138,84
138,84
138,84
139,84
139,84
139,84
140,84
140,85
140,85
140,86
140,86
140,86
141,86
141,87
141,87
142,87
142,87
142,87
142,88
142,88
142,88
143,88
